,time_elapsed,A0,A1,Relay_Val
0,3816,2.461961269378662,2.4625134468078613,0
1,20570,2.4617247581481934,2.4621191024780273,0
2,39383,2.4618823528289795,2.4624345302581787,0
3,54653,2.461014747619629,2.4644851684570312,0
4,65319,2.465352773666382,2.465510606765747,0
5,73711,2.4632232189178467,2.464958429336548,0
6,85112,2.465510606765747,2.465904951095581,0
7,94172,2.4625134468078613,2.4628288745880127,0
8,104643,2.461803436279297,2.462197780609131,0
9,115687,2.4621191024780273,2.4625134468078613,0
10,123847,2.4622766971588135,2.461961269378662,0
11,135869,2.461961269378662,2.462355613708496,0
12,143188,2.4622766971588135,2.4618823528289795,0
13,153519,2.465352773666382,2.465668201446533,0
14,168901,2.465273857116699,2.465747117996216,0
15,185840,2.465352773666382,2.465904951095581,0
16,194449,2.462197780609131,2.4625134468078613,0
17,204318,2.461803436279297,2.4621191024780273,0
18,215503,2.460462808609009,2.458096504211426,0
19,224562,2.4620401859283447,2.4622766971588135,0
20,235437,2.459437370300293,2.4620401859283447,0
21,244789,2.464721918106079,2.465273857116699,0
22,255779,2.4651949405670166,2.4655895233154297,0
23,265595,2.4651949405670166,2.465510606765747,0
24,275338,2.4650373458862305,2.4655895233154297,0
25,285284,2.465352773666382,2.465668201446533,0
26,294660,2.4622766971588135,2.4625134468078613,0
27,304233,2.461803436279297,2.4613301753997803,0
28,315860,2.461961269378662,2.4624345302581787,0
29,325477,2.4603049755096436,2.462197780609131,0
30,339659,2.4614880084991455,2.4621191024780273,0
31,356398,2.465116262435913,2.4654316902160645,0
32,369593,2.465352773666382,2.465747117996216,0
33,389043,2.4650373458862305,2.465116262435913,0
34,405092,2.4622766971588135,2.4624345302581787,0
35,435230,2.4618823528289795,2.462355613708496,0
36,456070,2.4654316902160645,2.465747117996216,0
37,469581,2.463775396347046,2.4655895233154297,0
38,484991,2.4651949405670166,2.462197780609131,0
39,494593,2.4622766971588135,2.4625134468078613,0
40,504927,2.4587275981903076,2.4621191024780273,0
41,515243,2.461803436279297,2.461961269378662,0
42,524857,2.461566925048828,2.4622766971588135,0
43,536258,2.4617247581481934,2.4621191024780273,0
44,543668,2.4646430015563965,2.4655895233154297,0
45,553606,2.4651949405670166,2.4654316902160645,0
46,564678,2.465273857116699,2.465668201446533,0
47,573497,2.4650373458862305,2.465352773666382,0
48,584074,2.4651949405670166,2.4655895233154297,0
49,593877,2.459989547729492,2.459043025970459,0
50,604621,2.461803436279297,2.462197780609131,0
51,614634,2.461566925048828,2.462197780609131,0
52,624671,2.4616458415985107,2.4620401859283447,0
53,634999,2.4618823528289795,2.4620401859283447,0
54,644372,2.4648005962371826,2.4650373458862305,0
55,654719,2.465116262435913,2.465510606765747,0
56,665290,2.4644851684570312,2.462197780609131,0
57,675616,2.4648795127868652,2.465510606765747,0
58,684706,2.461172580718994,2.463932991027832,0
59,696087,2.4621191024780273,2.4622766971588135,0
60,706713,2.461803436279297,2.4625134468078613,0
61,718551,2.461803436279297,2.4605414867401123,0
62,737655,2.4601471424102783,2.4584908485412598,0
63,744962,2.4650373458862305,2.4654316902160645,0
64,755002,2.4644062519073486,2.4622766971588135,0
65,766683,2.465273857116699,2.465668201446533,0
66,773738,2.4634599685668945,2.4617247581481934,0
67,786315,2.465116262435913,2.465352773666382,0
68,795955,2.4621191024780273,2.462592363357544,0
69,806109,2.461803436279297,2.462355613708496,0
70,815375,2.461961269378662,2.462355613708496,0
71,824557,2.4621191024780273,2.4624345302581787,0
72,835025,2.461961269378662,2.4624345302581787,0
73,844075,2.4648795127868652,2.4651949405670166,0
74,854409,2.465273857116699,2.465668201446533,0
75,864216,2.4620401859283447,2.462986707687378,0
76,875950,2.4654316902160645,2.4655895233154297,0
77,886151,2.465116262435913,2.465352773666382,0
78,895235,2.462355613708496,2.4626710414886475,0
79,906386,2.461803436279297,2.4625134468078613,0
80,914177,2.461803436279297,2.462197780609131,0
81,924759,2.4620401859283447,2.462355613708496,0
82,934709,2.4620401859283447,2.4601471424102783,0
83,945469,2.465116262435913,2.465510606765747,0
84,956084,2.464327573776245,2.465510606765747,0
85,966105,2.4650373458862305,2.4655895233154297,0
86,976437,2.465116262435913,2.465273857116699,0
87,985588,2.4648795127868652,2.4654316902160645,0
88,994327,2.461961269378662,2.462355613708496,0
89,1005906,2.461961269378662,2.4625134468078613,0
90,1017140,2.4621191024780273,2.4624345302581787,0
91,1024729,2.4622766971588135,2.460226058959961,0
92,1036066,2.4618823528289795,2.4622766971588135,0
93,1044887,2.4612514972686768,2.464958429336548,0
