,time_elapsed,A0,A1,Relay_Val
0,359496013387,0.0,0.0,0
1,359496024813,0.0,0.0,0
2,359496035179,0.0,0.0,0
3,359496044172,0.0,0.0,0
4,359496053232,0.0,0.0,0
5,359496063698,0.0,0.0,0
6,359496073729,0.0,0.0,0
7,359496083717,0.0,0.0,0
8,359496093478,0.0,0.0,0
9,359496104170,0.0,0.0,0
10,359496113786,0.0,0.0,0
11,359496124354,0.0,0.0,0
12,359496135290,0.0,0.0,0
13,359496143692,0.0,0.0,0
14,359496153356,0.0,0.0,0
15,359496164821,0.0,0.0,0
16,359496173917,0.0,0.0,0
17,359496185064,0.0,0.0,0
18,359496193402,0.0,0.0,0
19,359496203759,0.0,0.0,0
20,359496215244,0.0,0.0,0
21,359496223602,0.0,0.0,0
22,359496233980,0.0,0.0,0
23,359496244529,0.0,0.0,0
24,359496254066,0.0,0.0,0
25,359496265709,0.0,0.0,0
26,359496274275,0.0,0.0,0
27,359496285700,0.0,0.0,0
28,359496293666,0.0,0.0,0
29,359496304478,0.0,0.0,0
30,359496313966,0.0,0.0,0
31,359496324634,0.0,0.0,0
32,359496333973,0.0,0.0,0
33,359496343621,0.0,0.0,0
34,359496355193,0.0,0.0,0
35,359496363689,0.0,0.0,0
36,359496374157,0.0,0.0,0
37,359496384156,0.0,0.0,0
38,359496394767,0.0,0.0,0
39,359496403715,0.0,0.0,0
40,359496413230,0.0,0.0,0
41,359496423739,0.0,0.0,0
42,359496434756,0.0,0.0,0
43,359496443384,0.0,0.0,0
44,359496455117,0.0,0.0,0
45,359496464673,0.0,0.0,0
46,359496473574,0.0,0.0,0
47,359496485380,0.0,0.0,0
48,359496495019,0.0,0.0,0
49,359496504362,0.0,0.0,0
50,359496513559,0.0,0.0,0
51,359496523515,0.0,0.0,0
52,359496534354,0.0,0.0,0
53,359496543478,0.0,0.0,0
54,359496555480,0.0,0.0,0
55,359496565510,0.0,0.0,0
56,359496575238,0.0,0.0,0
57,359496585184,0.0,0.0,0
58,359496595001,0.0,0.0,0
59,359496603879,0.0,0.0,0
60,359496613564,0.0,0.0,0
61,359496625474,0.0,0.0,0
62,359496634182,0.0,0.0,0
63,359496643897,0.0,0.0,0
64,359496655762,0.0,0.0,0
65,359496664374,0.0,0.0,0
66,359496673447,0.0,0.0,0
67,359496683356,0.0,0.0,0
68,359496693334,0.0,0.0,0
69,359496704829,0.0,0.0,0
70,359496714750,0.0,0.0,0
71,359496723487,0.0,0.0,0
72,359496734913,0.0,0.0,0
73,359496746018,0.0,0.0,0
74,359496753910,0.0,0.0,0
75,359496764099,0.0,0.0,0
76,359496775229,0.0,0.0,0
77,359496785930,0.0,0.0,0
78,359496795543,0.0,0.0,0
79,359496803621,0.0,0.0,0
80,359496814156,0.0,0.0,0
81,359496825268,0.0,0.0,0
82,359496835161,0.0,0.0,0
83,359496842969,0.0,0.0,0
84,359496853651,0.0,0.0,0
85,359496863682,0.0,0.0,0
86,359496873926,0.0,0.0,0
87,359496884828,0.0,0.0,0
88,359496893516,0.0,0.0,0
89,359496903741,0.0,0.0,0
90,359496915832,0.0,0.0,0
91,359496925861,0.0,0.0,0
92,359496934103,0.0,0.0,0
93,359496943499,0.0,0.0,0
94,359496953763,0.0,0.0,0
95,359496965017,0.0,0.0,0
96,359496973497,0.0,0.0,0
97,359496985076,0.0,0.0,0
98,359496994093,0.0,0.0,0
99,359497003917,0.0,0.0,0
100,359497014740,0.0,0.0,0
101,359497024981,0.0,0.0,0
102,359497033314,0.0,0.0,0
103,359497043807,0.0,0.0,0
104,359497054350,0.0,0.0,0
105,359497063244,0.0,0.0,0
106,359497075142,0.0,0.0,0
107,359497085218,0.0,0.0,0
108,359497095452,0.0,0.0,0
