,time_elapsed,timestamp,A0,A1,Relay_Val,VoltageDiff
0,638,1404318241169,0.0,0.0,0,0.0
1,12231,1404318252762,0.0,0.0,0,0.0
2,20935,1404318261466,0.0,0.0,0,0.0
3,32200,1404318272731,0.0,0.0,0,0.0
4,40993,1404318281524,0.0,0.0,0,0.0
5,50931,1404318291462,0.0,0.0,0,0.0
6,62521,1404318303052,0.0,0.0,0,0.0
7,71411,1404318311942,0.0,0.0,0,0.0
8,81450,1404318321981,0.0,0.0,0,0.0
9,92163,1404318332694,0.0,0.0,0,0.0
10,102034,1404318342565,0.0,0.0,0,0.0
11,111027,1404318351558,0.0,0.0,0,0.0
12,121349,1404318361880,0.0,0.0,0,0.0
13,131273,1404318371804,0.0,0.0,0,0.0
14,140973,1404318381504,0.0,0.0,0,0.0
15,150953,1404318391484,0.0,0.0,0,0.0
16,161024,1404318401555,0.0,0.0,0,0.0
17,170986,1404318411517,0.0,0.0,0,0.0
18,181079,1404318421610,0.0,0.0,0,0.0
19,192457,1404318432988,0.0,0.0,0,0.0
20,201240,1404318441771,0.0,0.0,0,0.0
21,210837,1404318451368,0.0,0.0,0,0.0
22,220680,1404318461211,0.0,0.0,0,0.0
23,232163,1404318472694,0.0,0.0,0,0.0
24,242533,1404318483064,0.0,0.0,0,0.0
25,250260,1404318490791,0.0,0.0,0,0.0
26,261404,1404318501935,0.0,0.0,0,0.0
27,272614,1404318513145,0.0,0.0,0,0.0
28,280689,1404318521220,0.0,0.0,0,0.0
29,292539,1404318533070,0.0,0.0,0,0.0
30,301639,1404318542170,0.0,0.0,0,0.0
31,310891,1404318551422,0.0,0.0,0,0.0
32,320606,1404318561137,0.0,0.0,0,0.0
33,332086,1404318572617,0.0,0.0,0,0.0
34,342619,1404318583150,0.0,0.0,0,0.0
35,352431,1404318592962,0.0,0.0,0,0.0
36,362007,1404318602538,0.0,0.0,0,0.0
37,372064,1404318612595,0.0,0.0,0,0.0
38,380597,1404318621128,0.0,0.0,0,0.0
39,391867,1404318632398,0.0,0.0,0,0.0
40,401275,1404318641806,0.0,0.0,0,0.0
41,412111,1404318652642,0.0,0.0,0,0.0
42,422826,1404318663357,0.0,0.0,0,0.0
43,431234,1404318671765,0.0,0.0,0,0.0
44,442110,1404318682641,0.0,0.0,0,0.0
45,451785,1404318692316,0.0,0.0,0,0.0
46,460907,1404318701438,0.0,0.0,0,0.0
47,472896,1404318713427,0.0,0.0,0,0.0
48,480692,1404318721223,0.0,0.0,0,0.0
49,491932,1404318732463,0.0,0.0,0,0.0
50,500959,1404318741490,0.0,0.0,0,0.0
51,512315,1404318752846,0.0,0.0,0,0.0
52,521261,1404318761792,0.0,0.0,0,0.0
53,531686,1404318772217,0.0,0.0,0,0.0
54,542726,1404318783257,0.0,0.0,0,0.0
55,551228,1404318791759,0.0,0.0,0,0.0
56,562242,1404318802773,0.0,0.0,0,0.0
57,570663,1404318811194,0.0,0.0,0,0.0
58,580994,1404318821525,0.0,0.0,0,0.0
59,591632,1404318832163,0.0,0.0,0,0.0
60,602499,1404318843030,0.0,0.0,0,0.0
61,611671,1404318852202,0.0,0.0,0,0.0
