,time_elapsed,A0,A1,Relay_Val
0,867,0.0,0.0,0
1,14921,0.0,0.0,0
2,20974,0.0,0.0,0
3,31452,0.0,0.0,0
4,44360,0.0,0.0,0
5,50606,0.0,0.0,0
6,61427,0.0,0.0,0
7,70945,0.0,0.0,0
8,82331,0.0,0.0,0
9,91916,0.0,0.0,0
10,100428,0.0,0.0,0
11,112210,0.0,0.0,0
12,121547,0.0,0.0,0
13,131901,0.0,0.0,0
14,141930,0.0,0.0,0
15,150963,0.0,0.0,0
16,162478,0.0,0.0,0
17,170050,0.0,0.0,0
18,181116,0.0,0.0,0
19,189658,0.0,0.0,0
20,201652,0.0,0.0,0
21,210552,0.0,0.0,0
22,220252,0.0,0.0,0
23,231170,0.0,0.0,0
24,242079,0.0,0.0,0
25,251442,0.0,0.0,0
26,262274,0.0,0.0,0
27,270965,0.0,0.0,0
28,281588,0.0,0.0,0
29,293418,0.0,0.0,0
30,300697,0.0,0.0,0
31,312657,0.0,0.0,0
32,321077,0.0,0.0,0
33,331424,0.0,0.0,0
34,340214,0.0,0.0,0
35,351851,0.0,0.0,0
36,362164,0.0,0.0,0
37,369830,0.0,0.0,0
38,380176,0.0,0.0,0
39,390798,0.0,0.0,0
40,401347,0.0,0.0,0
41,412441,0.0,0.0,0
42,420431,0.0,0.0,0
43,433371,0.0,0.0,0
44,440763,0.0,0.0,0
45,451704,0.0,0.0,0
46,462026,0.0,0.0,0
47,470246,0.0,0.0,0
48,480924,0.0,0.0,0
49,497470,0.0,0.0,0
50,513502,0.0,0.0,0
51,520012,0.0,0.0,0
52,530644,0.0,0.0,0
53,543209,0.0,0.0,0
54,550782,0.0,0.0,0
55,560954,0.0,0.0,0
56,570348,0.0,0.0,0
57,580863,0.0,0.0,0
58,592042,0.0,0.0,0
59,600665,0.0,0.0,0
60,611702,0.0,0.0,0
61,620902,0.0,0.0,0
62,631161,0.0,0.0,0
63,640281,0.0,0.0,0
64,650248,0.0,0.0,0
65,663731,0.0,0.0,0
66,670630,0.0,0.0,0
67,681157,0.0,0.0,0
68,694690,0.0,0.0,0
69,701802,0.0,0.0,0
70,712172,0.0,0.0,0
71,720163,0.0,0.0,0
72,732499,0.0,0.0,0
73,741162,0.0,0.0,0
74,752667,0.0,0.0,0
75,761848,0.0,0.0,0
76,771769,0.0,0.0,0
77,780059,0.0,0.0,0
78,790914,0.0,0.0,0
79,801934,0.0,0.0,0
80,811389,0.0,0.0,0
81,820663,0.0,0.0,0
82,830411,0.0,0.0,0
83,840963,0.0,0.0,0
84,850551,0.0,0.0,0
85,861919,0.0,0.0,0
86,870096,0.0,0.0,0
87,880036,0.0,0.0,0
88,891278,0.0,0.0,0
89,900172,0.0,0.0,0
90,912328,0.0,0.0,0
91,922394,0.0,0.0,0
92,931412,0.0,0.0,0
93,942050,0.0,0.0,0
94,950730,0.0,0.0,0
95,961906,0.0,0.0,0
96,969961,0.0,0.0,0
97,980664,0.0,0.0,0
98,990698,0.0,0.0,0
99,1000642,0.0,0.0,0
100,1011547,0.0,0.0,0
101,1021884,0.0,0.0,0
102,1031199,0.0,0.0,0
103,1039760,0.0,0.0,0
104,1050823,0.0,0.0,0
105,1061936,0.0,0.0,0
106,1071817,0.0,0.0,0
107,1082395,0.0,0.0,0
108,1090993,0.0,0.0,0
109,1102076,0.0,0.0,0
110,1112555,0.0,0.0,0
111,1120101,0.0,0.0,0
112,1130082,0.0,0.0,0
113,1140334,0.0,0.0,0
114,1164365,0.0,0.0,0
115,1170148,0.0,0.0,0
116,1180010,0.0,0.0,0
117,1191060,0.0,0.0,0
118,1200131,0.0,0.0,0
119,1211821,0.0,0.0,0
120,1220203,0.0,0.0,0
121,1230844,0.0,0.0,0
122,1240000,0.0,0.0,0
123,1250911,0.0,0.0,0
124,1260794,0.0,0.0,0
125,1269982,0.0,0.0,0
126,1280868,0.0,0.0,0
127,1291050,0.0,0.0,0
128,1398132,0.0,0.0,0
129,1401615,0.0,0.0,0
130,1410157,0.0,0.0,0
131,1422160,0.0,0.0,0
132,1431494,0.0,0.0,0
133,1440298,0.0,0.0,0
134,1451523,0.0,0.0,0
135,1459849,0.0,0.0,0
136,1471426,0.0,0.0,0
137,1479993,0.0,0.0,0
138,1490091,0.0,0.0,0
139,1500915,0.0,0.0,0
140,1512034,0.0,0.0,0
141,1520425,0.0,0.0,0
142,1531618,0.0,0.0,0
143,1541787,0.0,0.0,0
144,1550382,0.0,0.0,0
145,1561004,0.0,0.0,0
146,1570436,0.0,0.0,0
147,1580572,0.0,0.0,0
148,1592337,0.0,0.0,0
149,1601682,0.0,0.0,0
150,1612159,0.0,0.0,0
151,1620985,0.0,0.0,0
152,1630949,0.0,0.0,0
153,1641300,0.0,0.0,0
154,1652126,0.0,0.0,0
155,1661831,0.0,0.0,0
156,1672619,0.0,0.0,0
157,1682650,0.0,0.0,0
158,1691312,0.0,0.0,0
159,1701916,0.0,0.0,0
160,1711508,0.0,0.0,0
161,1720684,0.0,0.0,0
162,1731426,0.0,0.0,0
163,1741055,0.0,0.0,0
164,1750855,0.0,0.0,0
165,1762149,0.0,0.0,0
166,1771047,0.0,0.0,0
167,1782043,0.0,0.0,0
168,1792367,0.0,0.0,0
169,1800755,0.0,0.0,0
170,1812374,0.0,0.0,0
171,1820325,0.0,0.0,0
172,1830684,0.0,0.0,0
173,1840799,0.0,0.0,0
174,1850366,0.0,0.0,0
175,1861811,0.0,0.0,0
176,1871357,0.0,0.0,0
177,1882230,0.0,0.0,0
178,1890867,0.0,0.0,0
179,1902430,0.0,0.0,0
180,1910748,0.0,0.0,0
181,1920909,0.0,0.0,0
182,1931855,0.0,0.0,0
183,1940786,0.0,0.0,0
184,1952166,0.0,0.0,0
185,1962286,0.0,0.0,0
186,1971340,0.0,0.0,0
187,1982652,0.0,0.0,0
188,1990884,0.0,0.0,0
189,2000284,0.0,0.0,0
